,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brand,Acer,Acer,Acer,Apple,Apple,Apple,Asus,Asus,Asus,Dell,Dell,Dell,HP,HP,HP
Id,Aspire5142002CF,Aspire7iCH01CF,Aspire315i02CF,MacbookPro13L202001NU,MacbookPro1602CF,MacbookAir13L20H01CS,VivobookF412DA01NU,VivobookM51304CF,VivoBookX515G1102CF,Inspiron5402CH01CF,Inspiron7501CH01CF,Inspiron54062in102CF,Pavi14x360G1101CF,HP14s01CF,Probook455G801CF
user1,1.443662997777114,1,1.5626640847905204,1,3,2,1.6421640520868643,1.7793228364087106,2,1.4752172679158904,2,1,1.7566174727995398,2,1.7454726895160613
user2,2,2,2,2,1,2,2,2,2,2,2,2,1.9309014730805492,2,2
user3,1.3770647133102087,1,2,1,2,1.1041290120700114,1.3011448019096266,1.3669594288211506,1,1,1.4149526990168704,1,1.3173875267144972,1,1
user4,1,1,1,2,1,1,2,2,1.6270222666546412,0.7691715628615442,1,1.193496639679168,1.395345809721931,1,1
user5,1,2,2,1,2,1,1,0.8964299750399107,1,2,2,1.0423933101736351,1,1,1.9429196034364717
user6,1,2.1709545513442485,1.3758018108080416,2,2,1.4112590367557827,2,1,1,2,2,1,2,1,3
user7,1,1.4328471596477794,1.2078708023225906,1.36122181806732,2,1,2,1.6607524648865817,3,1,1.1540061293965826,1.5770852091003167,1.524338484909298,1,2
user8,2,2,1,2,1.275996012047943,1.219565607876994,2,1,2.2270162985084396,1.5136594325581638,1,1.6620518373374975,2,1,2
user9,1.4582998570598233,1,1,2,1.7663995532038383,1.4898680550913705,2,2,2,1,2,1,2,1,2
user10,1,1,1,1.481667736634764,2,1,1.7574220834859362,1.8267666106740719,2,1,1,1,1.6165147433751703,3,1
user11,2,1.4406392166159898,1,2,2,1,1,1,2,1,2,1.2369859836154085,2,2,1.6849864346652945
user12,1,1.5369442523291275,2,1.4976062348895949,1.9946179170585834,2,1,1.620891145626152,3,2.3735425460649613,1,2.1676945884100713,2,1.2774212512703704,2
user13,1.8896328236405608,1,2,1,1,1,2,2,3,1.3866491547253026,1.2607295469055024,2.0204408360622823,1,1,2
user14,3,1.0538040799725303,2,1.0622718750536921,1.3037671989298738,0.8266593895207183,1,1,1.5848848460707057,1,2,1,1,1.1101801770477242,1.204151823240715
user15,2,1,1,1.560365152076895,2,1,1,1.395823847824112,2.3255106563914603,1.5055476390507176,1,2,2,1.380185553183688,2
user16,1.0670862490381494,1,1,2,2,1,1.820260645984927,2,2,1.4005506577928029,1,1.3720725798322353,1,2,2
user17,2,1.2643939895190695,2,1,1,1.327969692641566,2,1.4978808624003739,2,1,1,2,1.4702801532592653,1.2409595230799821,1.0868696157789146
user18,1.8640149361735572,1.5398022889891252,2,1,1.2744336406068058,1,1.179568900154655,1,1.975088402760725,2,1.167831180622123,2,1.2881730152123951,1,1.6544820070964747
user19,1,1,1,1.40755351014316,1,1.4194062406972021,2,1,1,0.8658939739330482,2,1,1,2,1.4334904869368534
user20,1,2,1,1,2,1,2,1,1.7755739621536029,1,1,0.9808274639077442,2,2,1.3756891017805306
user21,1.6849714189673635,1.6057011239851835,2,1.7096884619312214,2,1.755939305977718,2,2,2,2,1,1.6344033340588364,2,2,1
user22,1,2,1,1.2660045743667694,1,1,2,0.9826321232888876,2,1,1,1,1,1.2323611696780856,1.419322172754691
user23,1.511245973025921,1.0736533811706417,2,2,1,1,1.6761095041233383,2,1,1,1.3812957817517526,1.3385427412401185,1.4245444613849676,1,1
user24,1,1,1,1,2,1.2378044414813163,1.406510825043555,1.3733088936995574,2,1,0.9761327822386421,1,1.4552710384305292,1.5899541415009355,1
user25,1.5841177107716198,1.7214550768417358,1.7438281146306311,1,2,1.5486298422320712,1.4914656991250326,1.2428246713527227,1.7644926853048073,2,2,1,1.5270475526581258,1.5365483186252546,2
user26,3,1,2,1,1,1.3444052302193337,1.1686308619339165,1,2,1.4146163527292948,1.3157513690111942,2,2,1,1
user27,2,2,1.8264435190098736,2,1,1,1,1,1.8085332944739896,2,2,2,2,1,2
user28,1,2,1,2,1.9186935277114108,2,2.4398348217616688,2,2.121723146243337,1,2,1.4541658426503017,2,1.9045529522451081,1.9288704641757572
user29,2,2,1.8085148192936624,1.5098129618936007,1,2,2,1,2,2,1.4415466404010058,1,1.6309679570603373,2,1
user30,1.8378419329814268,1,2,2,1.5695660188974492,2,1.9864545462683092,2,2,1,1.5968347675178838,1.7752693405336608,2,1.7303977566518798,1
user31,2,1,1,1,1.7111462161777788,1.2246861394022386,1.7207722593392432,2,2.1641106036150575,1,1,1.328387974632481,2,2,1
user32,2,1.3310499269415872,2,1,2,2,1.579332363461491,1.3401539038702666,2,1.7985580716261125,2,2,1,1,2
user33,1.5919937777536544,1.594613151799276,2,2,2,1,2,2,1,1.6304282559543957,1,1,1.8353804366126223,3,1.0100709192451123
user34,2,1.734348113138428,2,2,1,2,2,1,3,2.158256331861786,1,2,1,1.2879567433250028,1.7250088433456843
user35,1.447974565181553,1,2,2,1,2,1,1.35296908281334,1.9854743434077105,3,1,2,1,1,1.8001187555960214
user36,1,1.5033900043713997,1.844115143131146,2,1.3555160319757302,2,1.8849074669482115,1.8333948433325669,2.5466742792886707,1.9944205019812322,1,3,1.6148217613005407,1,2.0268130052917424
user37,1,1.423829069671448,1.3224749164303227,2,1.590956434704712,1,1,1.2312451816453844,1.3456860563383262,1.4223001667944766,2,1.0864352023544581,1.425753105011145,1.2897164467668656,1.8281579717913152
user38,2,2,1.701050590616863,1,1.5578754428955142,1,1,1,2,2,1,1,2,1.6119450371472335,1
user39,1,1.7335587891866135,1.8971018220687283,1,2,3,2,1.6628519752861295,2.3497760353197155,2,2,2,2,1.566993062954521,2
