,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brand,Acer,Acer,Acer,Apple,Apple,Apple,Asus,Asus,Asus,Dell,Dell,Dell,HP,HP,HP
Id,Aspire5142002CF,Aspire7iCH01CF,Aspire315i02CF,MacbookPro13L202001NU,MacbookPro1602CF,MacbookAir13L20H01CS,VivobookF412DA01NU,VivobookM51304CF,VivoBookX515G1102CF,Inspiron5402CH01CF,Inspiron7501CH01CF,Inspiron54062in102CF,Pavi14x360G1101CF,HP14s01CF,Probook455G801CF
user1,0,1,0,1,3,2,0,0,2,0,2,1,0,2,0
user2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2
user3,0,1,2,1,2,0,0,0,1,1,0,1,0,1,1
user4,1,1,1,2,1,1,2,2,0,0,1,0,0,1,1
user5,1,2,2,1,2,1,1,0,1,2,2,0,1,1,0
user6,1,0,0,2,2,0,2,1,1,2,2,1,2,1,3
user7,1,0,0,0,2,1,2,0,3,1,0,0,0,1,2
user8,2,2,1,2,0,0,2,1,0,0,1,0,2,1,2
user9,0,1,1,2,0,0,2,2,2,1,2,1,2,1,2
user10,1,1,1,0,2,1,0,0,2,1,1,1,0,3,1
user11,2,0,1,2,2,1,1,1,2,1,2,0,2,2,0
user12,1,0,2,0,0,2,1,0,3,0,1,0,2,0,2
user13,0,1,2,1,1,1,2,2,3,0,0,0,1,1,2
user14,3,0,2,0,0,0,1,1,0,1,2,1,1,0,0
user15,2,1,1,0,2,1,1,0,0,0,1,2,2,0,2
user16,0,1,1,2,2,1,0,2,2,0,1,0,1,2,2
user17,2,0,2,1,1,0,2,0,2,1,1,2,0,0,0
user18,0,0,2,1,0,1,0,1,0,2,0,2,0,1,0
user19,1,1,1,0,1,0,2,1,1,0,2,1,1,2,0
user20,1,2,1,1,2,1,2,1,0,1,1,0,2,2,0
user21,0,0,2,0,2,0,2,2,2,2,1,0,2,2,1
user22,1,2,1,0,1,1,2,0,2,1,1,1,1,0,0
user23,0,0,2,2,1,1,0,2,1,1,0,0,0,1,1
user24,1,1,1,1,2,0,0,0,2,1,0,1,0,0,1
user25,0,0,0,1,2,0,0,0,0,2,2,1,0,0,2
user26,3,1,2,1,1,0,0,1,2,0,0,2,2,1,1
user27,2,2,0,2,1,1,1,1,0,2,2,2,2,1,2
user28,1,2,1,2,0,2,0,2,0,1,2,0,2,0,0
user29,2,2,0,0,1,2,2,1,2,2,0,1,0,2,1
user30,0,1,2,2,0,2,0,2,2,1,0,0,2,0,1
user31,2,1,1,1,0,0,0,2,0,1,1,0,2,2,1
user32,2,0,2,1,2,2,0,0,2,0,2,2,1,1,2
user33,0,0,2,2,2,1,2,2,1,0,1,1,0,3,0
user34,2,0,2,2,1,2,2,1,3,0,1,2,1,0,0
user35,0,1,2,2,1,2,1,0,0,3,1,2,1,1,0
user36,1,0,0,2,0,2,0,0,0,0,1,3,0,1,0
user37,1,0,0,2,0,1,1,0,0,0,2,0,0,0,0
user38,2,2,0,1,0,1,1,1,2,2,1,1,2,0,1
user39,1,0,0,1,2,3,2,0,0,2,2,2,2,0,2
